datetime,track name,artist,album name,track duration,abum image url,spotify url,spotify track id,genre,track playing,tempo,acousticness,livelines,danceability,speechiness,loudness,energy,instrumentalness
2018-12-24 17:08:33,Tired Boy,Joey Pecoraro,Tired Boy,255049,https://i.scdn.co/image/a349cd87ed01dd843176e090e99baf8f1b8d6c4b,https://open.spotify.com/track/4SkTfsjWUy2rp40d2Ayfmv,spotify:track:4SkTfsjWUy2rp40d2Ayfmv,,TRUE,82.819,0.616,0.0878,0.661,0.0413,-4.24,0.391,0.856
2018-12-24 17:08:33,Tired Boy,Joey Pecoraro,Tired Boy,255049,https://i.scdn.co/image/a349cd87ed01dd843176e090e99baf8f1b8d6c4b,https://open.spotify.com/track/4SkTfsjWUy2rp40d2Ayfmv,spotify:track:4SkTfsjWUy2rp40d2Ayfmv,,TRUE,82.819,0.616,0.0878,0.661,0.0413,-4.24,0.391,0.856
2018-12-24 17:12:48,"That Lady, Pts. 1 & 2",The Isley Brothers,3+3,334386,https://i.scdn.co/image/fd8a9b405bb14911a5ef5ae8ae5033fb1cceac81,https://open.spotify.com/track/46pW0poQYEb2bVaqozGO59,spotify:track:46pW0poQYEb2bVaqozGO59,,TRUE,126.318,0.261,0.335,0.344,0.0606,-9.112,0.769,0.000122
2018-12-24 17:12:48,"That Lady, Pts. 1 & 2",The Isley Brothers,3+3,334386,https://i.scdn.co/image/fd8a9b405bb14911a5ef5ae8ae5033fb1cceac81,https://open.spotify.com/track/46pW0poQYEb2bVaqozGO59,spotify:track:46pW0poQYEb2bVaqozGO59,,TRUE,126.318,0.261,0.335,0.344,0.0606,-9.112,0.769,0.000122
2018-12-24 17:18:23,Tru Dancing,O'Flynn,Tru Dancing,345769,https://i.scdn.co/image/634e38f47dd09cf7072cd54428f9120300f9f676,https://open.spotify.com/track/5e1Dlb6sQFBS83u7DzzEdZ,spotify:track:5e1Dlb6sQFBS83u7DzzEdZ,,TRUE,116.998,0.0214,0.0458,0.752,0.0597,-9.964,0.741,0.924
2018-12-24 17:21:05,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,241106,https://i.scdn.co/image/e06f3ddadf59ee24504fc02bfe205945807a2437,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,spotify:track:0bYg9bo50gSsH3LtXe2SQn,christmas,TRUE,150.277,0.164,0.0708,0.335,0.0386,-7.462,0.625,0
2018-12-24 17:25:05,Last Christmas - Remastered,George Michael,Twenty Five,267160,https://i.scdn.co/image/4b9473369471a651b8173359780498fd7ab4e60f,https://open.spotify.com/track/6wn2nmFn3wDuiMldRiuRuL,spotify:track:6wn2nmFn3wDuiMldRiuRuL,christmas,TRUE,106.856,0.262,0.221,0.757,0.0282,-7.964,0.618,0
2018-12-24 17:29:33,Jingle Bell Rock,Various Artists,Four Christmases,131546,https://i.scdn.co/image/aa45c010a4ec3985905b118f6f8ef86d3365cd05,https://open.spotify.com/track/2wCPMWR3y4xclijuCcLJv7,spotify:track:2wCPMWR3y4xclijuCcLJv7,christmas,TRUE,119.345,0.844,0.062,0.709,0.0377,-5.628,0.506,0
2018-12-24 17:31:44,It's Beginning To Look A Lot Like Christmas,Michael Bublé,Christmas (Deluxe Special Edition),206346,https://i.scdn.co/image/91c2445c170390988d8010c45abb5c9d4c2db174,https://open.spotify.com/track/5a1iz510sv2W9Dt1MvFd5R,spotify:track:5a1iz510sv2W9Dt1MvFd5R,christmas,TRUE,93.269,0.907,0.292,0.35,0.0331,-11.042,0.232,0.00000921
2018-12-24 17:35:11,It's the Most Wonderful Time of the Year,Andy Williams,The Andy Williams Christmas Album,151933,https://i.scdn.co/image/a3e8629ce4030dc985bdffca9b1b854ac9c8dadf,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN,spotify:track:5hslUAKq9I9CG2bAulFkHN,christmas,TRUE,202.082,0.766,0.117,0.24,0.037,-8.435,0.598,0
2018-12-24 17:37:43,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,My Kind Of Christmas,117586,https://i.scdn.co/image/148910e6dc3da357b0325f1bf2206b844665da0e,https://open.spotify.com/track/1prYSRBfwPvE3v8jSRZL3Q,spotify:track:1prYSRBfwPvE3v8jSRZL3Q,christmas,TRUE,133.928,0.782,0.218,0.504,0.0346,-11.109,0.287,0.0000019
2018-12-24 17:39:41,Santa Tell Me,Ariana Grande,Santa Tell Me,204093,https://i.scdn.co/image/7ba198319ccb9ab4f24f6dac90a59c3e49a5cd84,https://open.spotify.com/track/1ADjWm8QNhgNV8yCNNgQ1T,spotify:track:1ADjWm8QNhgNV8yCNNgQ1T,christmas,TRUE,132.96,0.0464,0.295,0.464,0.182,-7.337,0.63,0
2018-12-24 17:43:06,Rockin' Around The Christmas Tree - Single Version,Brenda Lee,Anthology 1956-1980 (Volume 1 & 2),125826,https://i.scdn.co/image/56017eb99bb5af4bd65914e31e269d5d23b15290,https://open.spotify.com/track/1XBc4r6ltXjkFJBrsttwIF,spotify:track:1XBc4r6ltXjkFJBrsttwIF,christmas,TRUE,139.752,0.703,0.463,0.691,0.0599,-12.149,0.402,0
2018-12-24 17:45:12,Sleigh Ride,Various Artists,"Julemusik - Crooners, Christmas & Classics",180906,https://i.scdn.co/image/be88cd908637c82a030264d715d8dfc144b7113f,https://open.spotify.com/track/2BDOXelusiQedIRpyec3Uc,spotify:track:2BDOXelusiQedIRpyec3Uc,christmas,TRUE,91.572,0.398,0.32,0.521,0.03,-6.725,0.788,0.00000153
2018-12-24 17:48:14,Wonderful Christmastime (Edited Version) [Remastered],Various Artists,Now That's What I Call Christmas,225840,https://i.scdn.co/image/d15b6864479fb804d1c20a1894036509ec0ec587,https://open.spotify.com/track/1F8tXdM8cz9bH5PiK1SuAB,spotify:track:1F8tXdM8cz9bH5PiK1SuAB,christmas,TRUE,94.72,0.288,0.069,0.774,0.0335,-9.115,0.508,0
2018-12-24 17:52:02,"Baby, It's Cold Outside (feat. Meghan Trainor)",Brett Eldredge,Glow,173560,https://i.scdn.co/image/67cf4019c56eb660d6efe96c37c75f4c644dec99,https://open.spotify.com/track/5Q2P43CJra0uRAogjHyJDK,spotify:track:5Q2P43CJra0uRAogjHyJDK,christmas,TRUE,113.998,0.738,0.266,0.583,0.0366,-4.776,0.572,0
2018-12-24 17:54:56,Christmas (Baby Please Come Home),Mariah Carey,Merry Christmas,153240,https://i.scdn.co/image/e06f3ddadf59ee24504fc02bfe205945807a2437,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN,spotify:track:3PIDciSFdrQxSQSihim3hN,christmas,TRUE,127.16,0.022,0.109,0.566,0.0311,-7.444,0.782,0
