datetime,cloud cover,wind speed,temperature,humidity,icon,precipitation,temperature(C)
2018-12-24 17:09:07,0.29,3.84,41.6,0.88,partly-cloudy-night,0,5.333333333
2018-12-24 17:12:07,0.3,3.86,41.55,0.88,partly-cloudy-night,0,5.305555556
2018-12-24 17:15:06,0.31,3.88,41.51,0.88,partly-cloudy-night,0,5.283333333
2018-12-24 17:18:06,0.32,3.89,41.46,0.88,partly-cloudy-night,0,5.255555556
2018-12-24 17:21:06,0.33,3.91,41.41,0.88,partly-cloudy-night,0,5.227777778
2018-12-24 17:24:07,0.33,3.92,41.37,0.89,partly-cloudy-night,0,5.205555556
2018-12-24 17:27:06,0.34,3.95,41.02,0.89,partly-cloudy-night,0,5.011111111
2018-12-24 17:30:06,0.35,3.97,40.96,0.89,partly-cloudy-night,0,4.977777778
2018-12-24 17:33:06,0.36,3.99,40.9,0.89,partly-cloudy-night,0,4.944444444
2018-12-24 17:36:06,0.37,4,40.84,0.89,partly-cloudy-night,0,4.911111111
2018-12-24 17:39:06,0.37,4.02,40.78,0.89,partly-cloudy-night,0,4.877777778
2018-12-24 17:42:06,0.58,2.94,39.82,0.9,partly-cloudy-night,0,4.344444444
2018-12-24 17:45:06,0.58,2.97,39.78,0.9,partly-cloudy-night,0,4.322222222
2018-12-24 17:48:06,0.18,2.83,39.81,0.9,kk ll ,0,4.338888889
2018-12-24 17:51:06,0.15,2.84,39.77,0.9,clear-night,0,4.316666667
2018-12-24 17:54:06,0.12,2.86,39.73,0.9,clear-night,0,4.294444444
2018-12-24 17:57:06,0.1,2.88,39.69,0.9,clear-night,0,4.272222222
2018-12-24 18:00:07,0.07,2.9,39.65,0.9,clear-night,0,4.25
2018-12-24 18:03:06,0.09,2.92,39.62,0.9,clear-night,0,4.233333333
2018-12-24 18:06:06,0.54,2.97,39.28,0.9,partly-cloudy-night,0,4.044444444
2018-12-24 18:09:06,0.53,2.98,39.25,0.9,partly-cloudy-night,0,4.027777778
2018-12-24 18:12:06,0.52,3,39.22,0.9,partly-cloudy-night,0,4.011111111
2018-12-24 18:15:06,0.51,3.02,39.19,0.91,partly-cloudy-night,0,3.994444444
2018-12-24 18:18:05,0.5,3.03,39.15,0.91,partly-cloudy-night,0,3.972222222
2018-12-24 18:21:05,0.49,3.05,39.12,0.91,partly-cloudy-night,0,3.955555556
2018-12-24 18:24:05,0.48,3.07,39.09,0.91,partly-cloudy-night,0,3.938888889
2018-12-24 18:27:05,0.47,3.09,39.06,0.91,partly-cloudy-night,0,3.922222222
2018-12-24 18:30:05,0.46,3.1,39.03,0.91,partly-cloudy-night,0,3.905555556
2018-12-24 18:33:05,0.45,3.12,38.99,0.91,partly-cloudy-night,0,3.883333333
2018-12-24 18:36:05,0.44,3.14,38.96,0.91,partly-cloudy-night,0,3.866666667
2018-12-24 18:39:05,0.43,3.16,38.93,0.91,partly-cloudy-night,0,3.85
2018-12-24 18:42:05,0.42,3.17,38.9,0.91,partly-cloudy-night,0,3.833333333
2018-12-24 18:45:05,0.52,2.76,38.2,0.92,partly-cloudy-night,0,3.444444444
2018-12-24 18:48:05,0.51,2.77,38.17,0.92,partly-cloudy-night,0,3.427777778
2018-12-24 18:51:05,0.5,2.77,38.13,0.92,partly-cloudy-night,0,3.405555556
2018-12-24 18:54:05,0.49,2.78,38.1,0.92,partly-cloudy-night,0,3.388888889
2018-12-24 18:57:05,0.49,2.78,38.06,0.92,partly-cloudy-night,0,3.366666667
2018-12-24 19:00:05,0.48,2.79,38.03,0.92,partly-cloudy-night,0,3.35
2018-12-24 19:03:05,0.47,2.8,38.01,0.92,partly-cloudy-night,0,3.338888889
2018-12-24 19:06:05,0.46,2.81,37.99,0.92,partly-cloudy-night,0,3.327777778
2018-12-24 19:09:05,0.44,2.82,37.97,0.92,partly-cloudy-night,0,3.316666667
2018-12-24 19:12:05,0.43,2.83,37.95,0.92,partly-cloudy-night,0,3.305555556
2018-12-24 19:15:05,0.42,2.84,37.94,0.92,partly-cloudy-night,0,3.3
2018-12-24 19:18:04,0.41,2.85,37.92,0.92,partly-cloudy-night,0,3.288888889
2018-12-24 19:21:05,0.4,2.86,37.9,0.92,partly-cloudy-night,0,3.277777778
2018-12-24 19:24:05,0.39,2.88,37.88,0.92,partly-cloudy-night,0,3.266666667
2018-12-24 19:27:05,0.38,2.89,37.86,0.92,partly-cloudy-night,0,3.255555556
2018-12-24 19:30:06,0.36,2.9,37.84,0.92,partly-cloudy-night,0,3.244444444
